Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
M,576,Irving,5.0,5.0,West Ham,3,0.17,5,0.27,6,0.30,7,0.32,8,0.43,8,0.36,9,0.41,8,0.37,0.00
M,577,Lindstrøm,5.4,5.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.09,0,0.00,0,0.00,0.00
D,578,Calafiori,5.9,5.9,Arsenal,33,1.56,49,1.79,59,1.69,60,3.38,58,3.30,58,2.54,57,2.17,57,2.24,0.00
D,579,Sessegnon,4.4,4.4,Fulham,15,0.69,17,0.75,19,0.77,21,0.84,23,0.53,24,0.97,25,1.03,25,1.20,0.00
D,580,Huijsen,4.5,4.5,Bournemouth,19,0.74,18,0.60,23,0.51,25,1.11,24,0.94,26,0.70,29,0.82,29,0.73,0.00
G,581,Jørgensen,4.5,4.5,Chelsea,2,0.07,4,0.13,6,0.21,9,0.33,10,0.42,11,0.37,12,0.43,12,0.41,0.00
D,582,O'Brien,4.9,4.9,Everton,50,1.71,39,0.91,16,0.55,13,0.44,12,0.37,15,0.54,14,0.51,13,0.44,0.00
D,583,Townsend,4.0,4.0,Ipswich,8,0.30,10,0.29,10,0.35,8,0.27,8,0.24,8,0.30,9,0.30,8,0.32,0.00
M,584,Brereton Díaz,5.5,5.5,Southampton,73,3.60,70,3.56,68,4.47,65,3.13,65,2.35,65,4.13,64,2.31,65,3.89,0.03
M,585,I.Sarr,5.9,5.9,Crystal Palace,52,2.33,57,3.48,56,3.04,56,2.93,55,2.61,55,2.81,54,2.83,53,2.77,0.00
D,586,J.Cuenca,4.5,4.5,Fulham,2,0.08,4,0.15,5,0.17,7,0.26,7,0.17,8,0.27,10,0.35,10,0.40,0.00
M,587,Summerville,5.9,5.9,West Ham,16,0.79,17,1.02,18,1.06,19,1.13,22,1.56,22,1.12,23,1.36,24,1.39,0.00
M,588,G.Rodríguez,5.0,5.0,West Ham,83,2.01,77,2.20,75,2.08,75,2.13,74,2.39,76,1.94,73,2.09,72,2.02,0.00
F,589,Füllkrug,6.9,6.9,West Ham,44,2.11,47,2.74,54,3.08,55,3.06,52,3.72,53,2.65,52,3.11,53,3.01,0.00
F,590,Osula,5.0,5.0,Newcastle,1,0.10,1,0.10,0,0.00,0,0.00,0,0.00,1,0.13,1,0.09,0,0.00,0.00
D,591,Todibo,4.5,4.5,West Ham,64,1.13,77,2.35,75,1.83,73,2.19,75,3.05,72,1.28,71,2.03,70,2.04,0.00
D,592,J.Araujo,4.5,4.5,Bournemouth,46,1.70,43,1.33,43,0.84,42,1.92,41,1.58,42,1.10,42,1.16,42,1.02,0.00
D,593,De Ligt,5.0,5.0,Man Utd,57,1.38,84,3.26,83,2.46,81,2.33,80,2.04,80,3.25,79,2.31,78,2.18,0.00
D,594,Mazraoui,4.5,4.5,Man Utd,81,2.23,57,2.59,35,1.35,28,1.09,29,1.02,29,1.42,29,1.15,30,1.16,0.00
M,595,Gruda,5.5,5.5,Brighton,20,0.90,26,1.61,31,1.80,29,1.37,32,1.65,32,1.57,31,1.82,32,1.40,0.00
M,596,Jota Silva,6.0,6.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,597,Lewis-Skelly,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,598,Bogarde,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,599,Dennis,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,600,Ayari,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,601,Moran,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,602,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,603,Armstrong,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,604,King,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,605,Godo,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,606,Alves,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,607,O’Reilly,5.0,5.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,608,Dibling,4.5,4.5,Southampton,3,0.22,3,0.22,3,0.23,4,0.30,3,0.21,3,0.26,4,0.27,5,0.37,0.00
F,609,Lankshear,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,610,Moore,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,611,Szmodics,6.0,6.0,Ipswich,64,3.54,71,3.03,68,3.53,65,3.13,61,2.91,62,3.39,60,2.81,58,3.46,0.00
M,612,Odobert,5.5,5.5,Spurs,20,1.18,21,1.09,22,1.40,22,1.19,24,1.29,25,1.60,26,1.36,26,1.46,0.00
M,613,Collyer,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,614,Metcalfe,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,615,Rushworth,4.0,4.0,Brighton,2,0.06,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,616,Nelson,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,617,Evanilson,6.0,6.0,Bournemouth,80,4.13,73,3.94,65,2.82,62,4.01,60,3.41,59,2.56,59,2.77,61,2.53,0.00
M,618,Georginio,5.5,5.5,Brighton,27,1.18,23,1.58,26,1.69,24,1.23,26,1.53,25,1.41,24,1.59,26,1.28,0.00
M,619,Cajuste,4.5,4.5,Ipswich,23,0.97,33,1.15,33,1.27,33,1.22,33,1.21,33,1.34,32,1.18,34,1.37,0.00
M,620,Sosa,5.5,5.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,621,João Félix,6.5,6.5,Chelsea,40,2.66,54,3.31,54,3.36,53,3.51,52,3.87,53,2.61,51,3.55,51,2.94,0.00
M,622,Berge,5.0,5.0,Fulham,54,1.83,78,2.48,77,2.42,74,2.26,73,1.81,72,2.22,72,2.24,70,2.37,0.00
M,623,M.Fernandes,5.0,5.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,624,Begovic,4.0,4.0,Everton,0,0.00,0,0.00,3,0.13,3,0.09,3,0.09,4,0.14,3,0.12,3,0.12,0.00
M,625,Gündogan,6.5,6.5,Man City,50,2.51,53,2.99,50,2.28,50,2.60,49,3.05,50,2.76,48,3.29,49,2.57,0.00
D,626,Kaboré,4.5,4.5,Man City,2,0.08,1,0.06,2,0.10,3,0.14,4,0.21,5,0.23,4,0.22,5,0.23,0.00
D,627,Dixon,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10001,Josh Wilson-Esbrand,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10011,Malick Junior Yalcouyé,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10039,Billy Crellin,99.9,99.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10068,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10069,Harrison Ashby,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10070,Ed Turns,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10075,Jensen Weir,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10076,Matthew Cox,99.9,99.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10077,Paris Maghoma,99.9,99.9,Brentford,0,0.00,1,0.07,2,0.09,2,0.13,2,0.14,2,0.09,2,0.10,2,0.09,0.00
M,10083,Daniel Gore,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10086,Chem Campbell,99.9,99.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10087,Gavin Kilkenny,99.9,99.9,Bournemouth,0,0.00,1,0.09,1,0.07,1,0.10,2,0.15,2,0.15,3,0.17,2,0.11,0.00
G,10088,Harry Tyrer,99.9,99.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10093,Vitezslav Jaros,99.9,99.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10098,Imari Samuels,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10107,Tino Anjorin,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10110,Harry Amass,99.9,99.9,Man Utd,4,0.14,3,0.14,2,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,10112,Ethan Wheatley,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10120,Ferdi Kadıoğlu,99.9,99.9,Brighton,31,0.70,27,1.35,38,1.69,35,0.91,37,1.22,38,1.09,35,1.58,37,0.78,0.00
F,10122,Victor Osimhen,99.9,99.9,Chelsea,13,0.89,27,1.61,26,1.57,24,1.57,23,1.65,25,1.23,24,1.59,25,1.40,0.00
G,10127,Killian Cahill,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10129,Zach Abbott,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10130,Mateus Fernandes,99.9,99.9,Southampton,4,0.16,3,0.12,4,0.17,5,0.18,6,0.21,5,0.22,6,0.20,7,0.27,0.00
M,10131,Mikel Merino,99.9,99.9,Arsenal,6,0.33,28,1.24,29,1.08,30,1.76,32,1.88,33,1.57,34,1.51,35,1.58,0.00
G,10134,Louie Moulden,99.9,99.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,10135,Jack Clarke,99.9,99.9,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10136,Dara O'Shea,99.9,99.9,Ipswich,71,2.12,72,1.41,66,1.74,67,1.54,65,1.31,63,2.07,66,1.56,65,2.21,0.00
