Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
AM,BHA,BHA,1.1,1.1,Brighton,-,5.08,-,7.66,-,5.90,0
AM,NEW,NEW,1.5,1.5,Newcastle,-,5.55,-,4.06,-,7.41,0
AM,SOU,SOU,0.5,0.5,Southampton,-,3.04,-,4.51,-,3.98,0
AM,NFO,NFO,1.1,1.1,Nott'm Forest,-,7.90,-,4.83,-,3.95,0
AM,BOU,BOU,1.1,1.1,Bournemouth,-,5.19,-,5.05,-,8.62,0
AM,WHU,WHU,0.5,0.5,West Ham,-,3.85,-,9.96,-,5.71,0
AM,AVL,AVL,0.8,0.8,Aston Villa,-,4.83,-,7.84,-,5.66,0
AM,BRE,BRE,0.8,0.8,Brentford,-,7.06,-,5.72,-,5.19,0
AM,CRY,CRY,0.8,0.8,Crystal Palace,-,5.12,-,5.68,-,4.47,0
AM,CHE,CHE,1.5,1.5,Chelsea,-,4.43,-,7.55,-,5.91,0
AM,MCI,MCI,1.5,1.5,Man City,-,9.08,-,7.56,-,6.34,0
AM,LEI,LEI,0.5,0.5,Leicester,-,4.37,-,5.21,-,3.47,0
AM,TOT,TOT,1.1,1.1,Spurs,-,4.94,-,4.93,-,7.77,0
